"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "XML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/joan/Project/note-taking-app-new/src/pages/DesktopView.tsx", "TypeScript JSX", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/joan/Project/note-taking-app-new/src/pages/LeftSide.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/joan/Project/note-taking-app-new/src/pages/MobileView.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"/Users/joan/Project/note-taking-app-new/src/pages/NoteLayout.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"/Users/joan/Project/note-taking-app-new/src/pages/NoteLogo.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/joan/Project/note-taking-app-new/src/pages/NoteViewer.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"/Users/joan/Project/note-taking-app-new/src/pages/TagManagement.tsx", "TypeScript JSX", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 226
"/Users/joan/Project/note-taking-app-new/src/styles/quill-custom.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 8
"/Users/joan/Project/note-taking-app-new/src/types/index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/joan/Project/note-taking-app-new/src/utils/errors.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/joan/Project/note-taking-app-new/src/utils/formateDate.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/joan/Project/note-taking-app-new/src/vite-env.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/joan/Project/note-taking-app-new/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"/Users/joan/Project/note-taking-app-new/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 9, 36
"/Users/joan/Project/note-taking-app-new/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/joan/Project/note-taking-app-new/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 7, 29
"/Users/joan/Project/note-taking-app-new/vite.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 3, 26
"Total", "-", 2020, 448, 108, 36, 50, 7, 7079, 79, 13, 83, 401, 10324
